districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare
7;Libereckı;12;Sedláèková Milena;53;LEV 21;BEZPP;4;2,31
7;Libereckı;13;Šlehofer Aleš;37;LEV 21;LEV 21;7;4,04
7;Libereckı;14;Vondrouš Michal;39;LEV 21;LEV 21;4;2,31
7;Libereckı;15;Lang Roman;38;LEV 21;LEV 21;2;1,15
7;Libereckı;16;David Jan;29;LEV 21;LEV 21;2;1,15
7;Libereckı;17;Strnádek Vít;49;LEV 21;LEV 21;6;3,46
8;Královéhradeckı;1;Stavrev Michal;24;LEV 21;LEV 21;9;3,28
8;Královéhradeckı;2;Zmarzlák Radek;47;LEV 21;LEV 21;5;1,82
8;Královéhradeckı;3;Jakl Jaroslav;46;LEV 21;LEV 21;11;4,01
8;Královéhradeckı;4;Brandejs Jaroslav;66;LEV 21;LEV 21;5;1,82
8;Královéhradeckı;5;Tykal Miloslav;69;LEV 21;LEV 21;5;1,82
8;Královéhradeckı;6;Špièan Ludvík;38;LEV 21;LEV 21;10;3,64
8;Královéhradeckı;7;Valtera Tomáš;30;LEV 21;LEV 21;16;5,83
8;Královéhradeckı;8;Huòaková Gabriela;23;LEV 21;LEV 21;17;6,2
8;Královéhradeckı;9;Kavalík Josef;60;LEV 21;LEV 21;1;0,36
8;Královéhradeckı;10;Panáková Markéta;24;LEV 21;BEZPP;6;2,18
8;Královéhradeckı;11;Fichtner Jindøich;39;LEV 21;LEV 21;5;1,82
8;Královéhradeckı;12;Dostálek Karel;39;LEV 21;BEZPP;3;1,09
8;Královéhradeckı;13;Kalenskı František;51;LEV 21;LEV 21;1;0,36
8;Královéhradeckı;14;Gábor Marek;25;LEV 21;LEV 21;3;1,09
8;Královéhradeckı;15;Zavadilová Zuzana;53;LEV 21;BEZPP;2;0,72
8;Královéhradeckı;16;Richtr Jaroslav;49;LEV 21;BEZPP;8;2,91
8;Královéhradeckı;17;Kuèerová Hana;43;LEV 21;BEZPP;3;1,09
8;Královéhradeckı;18;Vacková Martina;21;LEV 21;BEZPP;2;0,72
8;Královéhradeckı;19;Holeèek Jan;41;LEV 21;BEZPP;1;0,36
8;Královéhradeckı;20;Radochová Monika;41;LEV 21;BEZPP;2;0,72
9;Pardubickı;1;Vondrouš Jan;35;LEV 21;LEV 21;3;1,89
9;Pardubickı;2;Baant Martin;36;LEV 21;LEV 21;12;7,59
9;Pardubickı;3;Votava Pøemysl;42;LEV 21;BEZPP;4;2,53
9;Pardubickı;4;Menšík Stanislav;73;LEV 21;LEV 21;4;2,53
