districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare;minor
1;Hl. m. Praha;29;Rezek Miloš;61;NEZ/DEM;NEZ/DEM;4;0,15;1
1;Hl. m. Praha;30;Kovaøíková Zdena;55;NEZ/DEM;NEZ/DEM;2;0,07;1
1;Hl. m. Praha;31;Baloun Jiøí;58;NEZ/DEM;NEZ/DEM;3;0,11;1
1;Hl. m. Praha;32;Beck Zdenìk;61;NEZ/DEM;NEZ/DEM;3;0,11;1
1;Hl. m. Praha;33;Bosák Bela;68;NEZ/DEM;NEZ/DEM;3;0,11;1
1;Hl. m. Praha;34;Šmíd Jakub;22;NEZ/DEM;NEZ/DEM;7;0,26;1
1;Hl. m. Praha;35;Sankot David;36;NEZ/DEM;NEZ/DEM;4;0,15;1
1;Hl. m. Praha;36;Formánek Tomáš;33;NEZ/DEM;NEZ/DEM;5;0,18;1
2;Støedoèeskı;1;Uzel Radim;66;NEZ/DEM;BEZPP;1 025;17,91;1
2;Støedoèeskı;2;Zouzalík Marek;34;NEZ/DEM;NEZ/DEM;94;1,64;1
2;Støedoèeskı;3;Pytlíková Anna;47;NEZ/DEM;BEZPP;56;0,97;1
2;Støedoèeskı;4;Machovcová Miloslava;54;NEZ/DEM;BEZPP;69;1,2;1
2;Støedoèeskı;5;Adamko František;69;NEZ/DEM;BEZPP;11;0,19;1
2;Støedoèeskı;6;Zedníèková Patricie;40;NEZ/DEM;NEZ/DEM;45;0,78;1
2;Støedoèeskı;7;Mach Jan;32;NEZ/DEM;NEZ/DEM;50;0,87;1
2;Støedoèeskı;8;Banga Patrik;24;NEZ/DEM;NEZ/DEM;10;0,17;1
2;Støedoèeskı;9;Mudrová Hana;24;NEZ/DEM;NEZ/DEM;59;1,03;1
2;Støedoèeskı;10;Koèí Aleš;43;NEZ/DEM;NEZ/DEM;23;0,4;1
2;Støedoèeskı;11;Nìmec Jan;34;NEZ/DEM;NEZ/DEM;29;0,5;1
2;Støedoèeskı;12;Denkrová Anna;21;NEZ/DEM;BEZPP;51;0,89;1
2;Støedoèeskı;13;Bech Pavel;41;NEZ/DEM;BEZPP;18;0,31;1
2;Støedoèeskı;14;Jaroš Ladislav;69;NEZ/DEM;SJ;15;0,26;1
2;Støedoèeskı;15;Bouše Jaroslav;40;NEZ/DEM;BEZPP;25;0,43;1
2;Støedoèeskı;16;Linhartová Šárka;39;NEZ/DEM;BEZPP;25;0,43;1
2;Støedoèeskı;17;Kreutzer Josef;54;NEZ/DEM;NEZ/DEM;35;0,61;1
2;Støedoèeskı;18;Roztoèilová Jaroslava;34;NEZ/DEM;NEZ/DEM;13;0,22;1
2;Støedoèeskı;19;Rakouš Pavel;42;NEZ/DEM;NEZ/DEM;8;0,13;1
2;Støedoèeskı;20;Duha Radek;28;NEZ/DEM;NEZ/DEM;33;0,57;1
2;Støedoèeskı;21;Vamberskı Ivo;43;NEZ/DEM;SJ;6;0,1;1
2;Støedoèeskı;22;Pøikrylová Anna;21;NEZ/DEM;SJ;18;0,31;1
2;Støedoèeskı;23;Findejsová Eva;46;NEZ/DEM;NEZ/DEM;7;0,12;1
2;Støedoèeskı;24;Mlejnek Petr;24;NEZ/DEM;NEZ/DEM;9;0,15;1
2;Støedoèeskı;25;Pfeiferová Katarína;48;NEZ/DEM;NEZ/DEM;18;0,31;1
2;Støedoèeskı;26;Fišer Jan;27;NEZ/DEM;BEZPP;9;0,15;1
2;Støedoèeskı;27;Votrubová Dagmar;55;NEZ/DEM;BEZPP;7;0,12;1
2;Støedoèeskı;28;Semenïák Tibor;60;NEZ/DEM;SJ;1;0,01;1
2;Støedoèeskı;29;Kupeckı Dušan;34;NEZ/DEM;BEZPP;7;0,12;1
2;Støedoèeskı;30;Seneckı Jaroslav;26;NEZ/DEM;BEZPP;11;0,19;1
2;Støedoèeskı;31;Rumpík Viktor;47;NEZ/DEM;SJ;1;0,01;1
2;Støedoèeskı;32;Bakule Petr;37;NEZ/DEM;BEZPP;7;0,12;1
2;Støedoèeskı;33;Kuèerová Kristına;29;NEZ/DEM;NEZ/DEM;15;0,26;1
2;Støedoèeskı;34;Chvátalová Vìra;55;NEZ/DEM;SJ;3;0,05;1
3;Jihoèeskı;1;Bárta Edvard;55;NEZ/DEM;BEZPP;21;1,41;1
3;Jihoèeskı;2;Paldinus ¼uboš;43;NEZ/DEM;NEZ/DEM;24;1,61;1
3;Jihoèeskı;3;Vítovcová Ladislava;54;NEZ/DEM;BEZPP;34;2,28;1
3;Jihoèeskı;4;Novák Ferdinand;60;NEZ/DEM;NEZ/DEM;11;0,74;1
3;Jihoèeskı;5;Stluka Jaroslav;41;NEZ/DEM;NEZ/DEM;14;0,94;1
3;Jihoèeskı;6;Krouilová Dagmar;40;NEZ/DEM;BEZPP;31;2,08;1
3;Jihoèeskı;7;Petráò František;57;NEZ/DEM;BEZPP;26;1,74;1
