nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,valid
5,ZRS,67,Michal,Milas,Ing.,64,stavebnı ininier - dôchodca,Svidník,1
5,ZRS,68,Helena,Slyšková,,55,ekonomická zamestnankyòa,Jasenové,1
5,ZRS,69,Milan,Krahulec,,47,vodiè,Zvolen,1
5,ZRS,70,Milan,Fufa¾,,50,drevár,Medzilaborce,1
5,ZRS,71,Branislav,Kulich,Ing.,72,dôchodca,Èaklov,1
5,ZRS,72,Alexander,Kucka,,30,poisovací poradca,Snina,1
5,ZRS,73,Jaroslav,Zelinka,,55,vıpravca vlakov,Humenné,1
5,ZRS,74,Anna,Pèolová,,43,ivnostníèka,Snina,1
5,ZRS,75,Tomáš,Fudaly,,55,vedúci DOS,Mlynèeky,1
5,ZRS,76,Milan,Olšovskı,,40,pracovník stránej sluby,Dolnı Lieskov,1
5,ZRS,77,Viktor,Kancír,Ing.,46,ininier ekonómie,Zvolen,1
5,ZRS,78,Jaroslav,Firka¾,,40,vodiè,Volica,1
5,ZRS,79,Andrej,Guzy,,59,ivnostník,Svidník,1
5,ZRS,80,Katarína,Luptáková,,41,robotníèka,Zvolen,1
5,ZRS,81,Jozef,Minarik,,40,vlakvedúci osobnıch vlakov,Bánovce nad Bebravou,1
5,ZRS,82,Pavol,Oriešek,,53,rušòovodiè,Nemšová,1
5,ZRS,83,Rastislav,Rosina,,39,rušòovodiè,Púchov,1
5,ZRS,84,Anna,Nagyová,,51,robotníèka,Kajal,1
5,ZRS,85,Alena,Lièková,,47,úètovníèka,Prievidza,1
5,ZRS,86,Júlia,Chlebanová,JUDr.,55,právnièka,Trenèín,1
5,ZRS,87,Ján,Grajciar,,43,inšpektor osobnıch vozòov,Komjatice,1
5,ZRS,88,Katarína,Kováèová,,43,predavaèka,ilina,1
5,ZRS,89,Mária,Glovòová,,43,stavebná úradníèka,Bardejov,1
5,ZRS,90,Mariana,Kucharèíková,,32,krajèírka,Trebišov,1
5,ZRS,91,Andrej,Dudáš,,65,ro¾ník,Pavlovce nad Uhom,1
5,ZRS,92,Michal,Vaško,,76,dôchodca,Medzilaborce,1
5,ZRS,93,Miroslav,Wansner,,44,elektrikár,Slovenská Ves,1
5,ZRS,94,¼udmila,Molèanová,Mgr.,35,uèite¾ka,Sabinov,1
5,ZRS,95,Adriána,Koby¾áková,,33,vedúca predajne,Trstená,1
5,ZRS,96,Stanislav,Šípoš,,55,baník,Prievidza,1
5,ZRS,97,Jozef,Valko,,42,robotník,Bratislava,1
5,ZRS,98,Jozef,Trokšiar,,44,ivnostník,Šurany,1
5,ZRS,99,Janka,Ïurèovièová,,44,technièka,Nové Zámky,1
5,ZRS,100,Milan,Barta,,48,vozòovı inšpektor,Komjatice,1
5,ZRS,101,Jozef,Gerát,Bc.,42,manaér SOU,Vrícko,1
5,ZRS,102,¼ubica,Ferèáková,,37,ekonómka,Medzilaborce,1
5,ZRS,103,Jozef,Karchòak,,42,automechanik,Saèurov,1
5,ZRS,104,Antonina,Kurucová,,46,úradníèka,Bardejov,1
5,ZRS,105,Helena,Andrejcová,,48,uèite¾ka,Ruská Poruba,1
5,ZRS,106,Anton,Èapkoviè,Ing.,42,nezamestnanı,Košice,1
5,ZRS,107,Aleš,Koneènı,,46,robotník,Humenné,1
5,ZRS,108,Miroslav,Masár,,39,strojmajster,Dubnica nad Váhom,1
5,ZRS,109,Dušan,Kutliak,,50,technik,Valaská,1
5,ZRS,110,Michal,Èonka,,44,ivnostník,Spišskı Štiavnik,1
5,ZRS,111,Marta,Šínová,,47,robotníèka,Snina,1
5,ZRS,112,Erich,Platko,,31,zootechnik,Radvaò nad Laborcom,1
5,ZRS,113,Tomáš,Šafárik,,23,elektromechanik,Vıèapy - Opatovce,1
5,ZRS,114,Janka,Ruièková,,50,novinárka,Detva,1
5,ZRS,115,Petr,Orság,,41,fotograf,Bratislava,1
5,ZRS,116,Vladimír,Damašek,,54,elektrikár,Povaská Bystrica,1
5,ZRS,117,Anna,Višvaderová,,47,predavaèka,Senica,1
5,ZRS,118,Rastislav,Harvan,,22,robotník,Snina,1
5,ZRS,119,Michal,Cipka,,62,vodiè,O¾ka,1
6,KDH,1,Pavol,Hrušovskı,JUDr.,54,poslanec NR SR,Nitra,1
6,KDH,2,Vladimír,Palko,doc. RNDr. CSc.,49,poslanec NR SR,Bratislava,1
6,KDH,3,Daniel,Lipšic,JUDr.,32,poslanec NR SR,Bratislava,1
6,KDH,4,Július,Brocka,Ing.,49,poslanec NR SR,Kriovany nad Dudváhom,1
