;again;party1;party2;mp;loyal
346;Koubskı Karel;KDU-ÈSL;KDU-ÈSL;0;1
347;Polák Jaroslav;KDU-ÈSL;KDU-ÈSL;0;1
348;Sova Karel;KDU-ÈSL;KDU-ÈSL;0;1
349;Prùša Daniel;KDU-ÈSL;KDU-ÈSL;0;1
350;Šeligová Alena;KDU-ÈSL;KDU-ÈSL;0;1
351;Vodièka Rudolf;KDU-ÈSL;KDU-ÈSL;0;1
352;Kalbáè Josef;KDU-ÈSL;KDU-ÈSL;0;1
353;Bartošek Jan;KDU-ÈSL;KDU-ÈSL;0;1
354;Hrdinová Marie;KDU-ÈSL;KDU-ÈSL;0;1
355;Dvoøák Zdenìk;KDU-ÈSL;KDU-ÈSL;0;1
356;Štemberková Rùena;KDU-ÈSL;KDU-ÈSL;0;1
357;Malík Stanislav;KDU-ÈSL;KDU-ÈSL;0;1
358;Huneš Robert;KDU-ÈSL;KDU-ÈSL;0;1
359;Hejl Jaroslav;KDU-ÈSL;KDU-ÈSL;0;1
360;Antoš Stanislav;KDU-ÈSL;KDU-ÈSL;0;1
361;Lorenzová Markéta;KDU-ÈSL;KDU-ÈSL;0;1
362;Kadlec Jan;KDU-ÈSL;KDU-ÈSL;0;1
363;Koderová Marie;KDU-ÈSL;KDU-ÈSL;0;1
364;Vokatı Václav;KDU-ÈSL;KDU-ÈSL;0;1
365;Šindeláø Vlastimil;KDU-ÈSL;KDU-ÈSL;0;1
366;Rùièka František;KDU-ÈSL;KDU-ÈSL;0;1
367;Jára Václav;KDU-ÈSL;KDU-ÈSL;0;1
368;Zelenková Václava;KDU-ÈSL;KDU-ÈSL;0;1
369;Landa Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
370;Zvalová Hana;KDU-ÈSL;KDU-ÈSL;0;1
371;Svobodová Vilemína;KDU-ÈSL;KDU-ÈSL;0;1
372;Svoboda Kamil Jan;KDU-ÈSL;KDU-ÈSL;0;1
373;Rákosová Zdeòka;KDU-ÈSL;KDU-ÈSL;0;1
374;Jiran Pavel;KDU-ÈSL;KDU-ÈSL;0;1
375;Vranı Michael;KDU-ÈSL;KDU-ÈSL;0;1
376;Gut Josef;KDU-ÈSL;KDU-ÈSL;0;1
377;Veselı Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
378;Maclová Anna;KDU-ÈSL;KDU-ÈSL;0;1
379;Bìlobrádek Pavel;KDU-ÈSL;KDU-ÈSL;0;1
380;Kubínová Marie;KDU-ÈSL;KDU-ÈSL;0;1
381;Starı Pavel;KDU-ÈSL;KDU-ÈSL;0;1
382;Petr Pavel;KDU-ÈSL;KDU-ÈSL;0;1
383;Rothschein Karel;KDU-ÈSL;KDU-ÈSL;0;1
384;Preininger Tomáš;KDU-ÈSL;KDU-ÈSL;0;1
385;Houška Miroslav;KDU-ÈSL;KDU-ÈSL;0;1
386;Tourek Jan;KDU-ÈSL;KDU-ÈSL;0;1
387;Køišan Tomáš;KDU-ÈSL;KDU-ÈSL;0;1
388;Nìmec Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
389;Ivièièová Jitka;KDU-ÈSL;KDU-ÈSL;0;1
390;Jureèka Marian;KDU-ÈSL;KDU-ÈSL;0;1
391;John František;KDU-ÈSL;KDU-ÈSL;0;1
392;Fidrmuc Jaroslav;KDU-ÈSL;KDU-ÈSL;0;1
393;Šnevajs Ladislav;KDU-ÈSL;KDU-ÈSL;0;1
394;Hanuška Petr;KDU-ÈSL;KDU-ÈSL;0;1
395;Odstrèilová Zdislava;KDU-ÈSL;KDU-ÈSL;0;1
396;Kašnı Miroslav;KDU-ÈSL;KDU-ÈSL;0;1
397;Jelínková Šárka;KDU-ÈSL;KDU-ÈSL;0;1
398;Forišková Dana;KDU-ÈSL;KDU-ÈSL;0;1
399;Pøádka Miroslav;KDU-ÈSL;KDU-ÈSL;0;1
400;Praáková Vìra;KDU-ÈSL;KDU-ÈSL;0;1
401;Drábek Ivan;KDU-ÈSL;KDU-ÈSL;0;1
402;Chamráth Rudolf;KDU-ÈSL;KDU-ÈSL;0;1
403;Šujan Vojtìch;KDU-ÈSL;KDU-ÈSL;0;1
404;Jedelskı Marcel;KDU-ÈSL;KDU-ÈSL;0;1
405;Golasowská Pavla;KDU-ÈSL;KDU-ÈSL;0;1
406;Cibulka Petr;PB;PB;0;1
407;Durdil Miroslav;PB;PB;0;1
408;Kutina František;PB;PB;0;1
409;Fronìk Roman;PB;PB;0;1
410;Kyprı Daniel;PB;PB;0;1
411;Macek Pavel;PB;PB;0;1
412;Prokop Zdenìk;PB;PB;0;1
413;Èernota Miroslav;PB;PB;0;1
414;Beèka Jan;PB;PB;0;1
415;Lukáèek Petr;PB;PB;0;1
416;Nosek Zdenìk;PB;PB;0;1
417;Hlaváèek Jiøí;PB;Piráti;0;0
418;Hejl Petr;PB;PB;0;1
419;Hauserová Eva;PB;PB;0;1
420;Foltis Karel;PB;PB;0;1
421;Jirsáková Jarmila;ÈSNS2005;LEV 21;0;0
422;Dvoøák Ivan;ÈSNS2005;LEV 21;0;0
423;Nedvìd Karel;ÈSNS2005;LEV 21;0;0
424;Kynclová Václava;ÈSNS2005;LEV 21;0;0
425;Fejfar Jiøí;ÈSNS2005;LEV 21;0;0
426;Kraft Pavel;ÈSNS2005;LEV 21;0;0
427;Janoušek Jiøí;ÈSNS2005;LEV 21;0;0
428;Polívka Karel;ÈSNS2005;LEV 21;0;0
429;Zídek Miloš;ÈSNS2005;LEV 21;0;0
430;Sprungová Vlasta;ÈSNS2005;LEV 21;0;0
431;Mirovskı Ondøej;SZ;SZ;0;1
432;Hrabal Ladislav;SZ;SZ;0;1
433;Rut Ondøej;SZ;SZ;0;1
434;Budín Lukáš;SZ;SZ;0;1
435;Picková Ilona;SZ;SZ;0;1
436;Kolmanová Dagmar;SZ;SZ;0;1
437;Rejchrtová Albìta;SZ;SZ;0;1
438;Kratochvílová Silvie;SZ;SZ;0;1
439;Kofroòová Iva;SZ;SZ;0;1
440;Brabec Petr;SZ;SZ;0;1
441;Vedral Vladimír;SZ;SZ;0;1
442;Lev Libor;SZ;SZ;0;1
443;Sequens Edvard;SZ;SZ;0;1
444;Marek Martin;SZ;Zmìna;0;0
445;Èerník Roman;SZ;SZ;0;1
446;Kubát Tomáš;SZ;SZ;0;1
447;Mudrová Marie;SZ;SZ;0;1
448;Pála Lumír;SZ;SZ;0;1
449;Moudrá Wünschová Irena;SZ;SZ;0;1
450;Buøt Vladimír;SZ;SZ;0;1
451;Krejèová Hana;SZ;SZ;0;1
452;Neprašová Radka;SZ;SZ;0;1
453;Hudec Miroslav;SZ;SZ;0;1
454;Kulich Jiøí;SZ;SZ;0;1
455;Vìchet Martin;SZ;SZ;0;1
456;Hanousek Martin;SZ;SZ;0;1
457;Karel Tomáš;SZ;SZ;0;1
458;Malík Jiøí;SZ;SZ;0;1
459;Kvapil Pavel;SZ;SZ;0;1
460;Pavlosek Jiøí;SZ;SZ;0;1
461;Kodymová Eva;SZ;SZ;0;1
462;Jakeš Michal;SZ;SZ;0;1
463;Houzarová Hana;SZ;SZ;0;1
464;Pykal Jiøí;SZ;SZ;0;1
465;Vitnerová Jana;SZ;SZ;0;1
466;Koláø Matìj;SZ;SZ;0;1
467;Drápalová Jana;SZ;SZ;0;1
468;Vlašín Mojmír;SZ;SZ;0;1
469;Blatná Milada;SZ;SZ;0;1
470;Medek Michal;SZ;SZ;0;1
