X.U.FEFF.again,party1,party2,order1,order2,change,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1,minorMajor,minorMinor,majorMajor,majorMinor
Lajos Balajti,SMK-MKP,SMK-MKP,99,74,-25,0,1,1,0,1,0,1998,0,0,1,0
Ladislav Bartók,SMK-MKP,SMK-MKP,102,63,-39,0,1,1,0,1,0,1998,0,0,1,0
Karol Fellinger,SMK-MKP,SMK-MKP,123,87,-36,0,1,1,0,1,0,1998,0,0,1,0
Viktor Nagy,SMK-MKP,ROMA,141,10,-131,0,0,0,0,1,0,1998,0,0,0,1
Alexander Kállai,SMK-MKP,ROISR,149,88,-61,0,0,0,0,1,0,1998,0,0,0,1
Béla Hrubík,SMK-MKP,SMK-MKP,72,104,32,0,1,1,0,0,0,1998,0,0,1,0
László Forró,SMK-MKP,SMK-MKP,85,34,-51,0,1,1,0,1,0,1998,0,0,1,0
Edit Bauer,SMK-MKP,SMK-MKP,7,17,10,0,1,1,0,0,0,1998,0,0,1,0
Stanislav Pánis,SNJ,SNJ,1,1,0,1,1,1,0,1,0,1998,0,1,0,0
Eva Balková,SNJ,SNJ,2,16,14,1,1,1,0,0,0,1998,0,1,0,0
Stanislav Svorad,SNJ,SNJ,5,2,-3,1,1,1,0,1,0,1998,0,1,0,0
Božena Štefíková,SNJ,ĽS,12,6,-6,1,0,0,0,1,0,1998,0,1,0,0
Edita Horváthová,SNJ,SNJ,15,18,3,1,1,1,0,0,0,1998,0,1,0,0
Ján Sitek,SNS,PSNS,4,2,-2,0,0,0,1,1,0,1998,0,0,0,1
Viliam Oberhauser,SNS,SNS,5,9,4,0,1,0,0,0,0,1998,0,0,0,1
Víťazoslav Moric,SNS,PSNS,6,6,0,0,0,0,1,1,0,1998,0,0,0,1
Jozef Prokeš,SNS,SNS,7,2,-5,0,1,0,0,1,0,1998,0,0,0,1
Jaroslav Paška,SNS,SNS,9,3,-6,0,1,0,0,1,0,1998,0,0,0,1
Štefan Zelník,SNS,PSNS,11,3,-8,0,0,0,1,1,0,1998,0,0,0,1
Rastislav Šepták,SNS,PSNS,12,7,-5,0,0,0,1,1,0,1998,0,0,0,1
Miroslav Kotian,SNS,SNS,13,6,-7,0,1,0,0,1,0,1998,0,0,0,1
Dušan Švantner,SNS,PSNS,14,5,-9,0,0,0,1,1,0,1998,0,0,0,1
Ján Havránek,SNS,PSNS,20,45,25,0,0,0,1,0,0,1998,0,0,0,1
František Ondrejkov,SNS,SNS,21,103,82,0,1,0,0,0,0,1998,0,0,0,1
Miroslav Michalec,SNS,PSNS,22,21,-1,0,0,0,1,1,0,1998,0,0,0,1
Milan Rybanský,SNS,SNS,26,24,-2,0,1,0,0,1,0,1998,0,0,0,1
Jozef Líška,SNS,PSNS,30,12,-18,0,0,0,1,1,0,1998,0,0,0,1
Rudolf Schuster,SNS,SNS,32,33,1,0,1,0,0,0,0,1998,0,0,0,1
Anna Bieliková,SNS,SNS,35,106,71,0,1,0,0,0,0,1998,0,0,0,1
Marián Ivanko,SNS,SNS,37,141,104,0,1,0,0,0,0,1998,0,0,0,1
Ivan Šaško,SNS,HZD,39,18,-21,0,0,0,0,1,0,1998,0,0,0,1
